anios_esc,ingocup,hrsocup,clase2
0,0,0,0
12,3870,48,1
7,0,0,4
0,0,0,0
12,9600,42,1
11,17200,50,1
0,0,0,4
7,3440,30,1
12,8600,72,1
12,6000,28,1
0,0,42,1
3,950,28,1
14,0,50,1
6,0,48,1
9,0,21,1
0,0,0,0
6,4500,77,1
6,4300,24,1
0,0,0,4
12,4000,36,1
6,0,0,4
0,6450,70,1
0,0,0,0
5,0,0,4
17,0,0,4
0,0,0,0
12,0,50,1
17,0,0,3
6,15910,40,1
9,0,0,4
7,8600,12,1
6,7500,70,1
9,15000,40,1
17,0,40,1
9,7740,40,1
0,0,0,0
7,0,0,4
12,0,60,1
0,0,0,0
6,0,0,4
17,0,50,1
0,0,0,0
0,0,0,0
0,0,0,0
9,11180,60,1
12,7740,24,1
12,0,0,2
11,25800,42,1
12,600,60,1
12,0,55,1
11,0,0,4
12,0,40,1
9,7740,40,1
9,0,0,4
9,10750,34,1
9,5160,56,1
9,0,0,2
9,21500,45,1
14,0,48,1
12,9000,32,1
0,0,0,0
0,0,0,0
9,15480,86,1
12,15050,56,1
17,20000,48,1
16,12000,50,1
13,12000,42,1
0,1000,36,1
13,1290,4,1
8,8600,45,1
15,4300,56,1
0,0,0,0
2,9890,55,1
6,8600,45,1
7,0,0,4
15,0,40,1
0,0,0,0
0,0,0,0
3,7740,0,1
0,0,0,0
12,7740,36,1
6,9890,54,1
12,3000,72,1
12,6450,50,1
9,8600,54,1
17,0,0,4
11,10750,48,1
